,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Japan Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alts,Private Equity,0.0575,0.0842,0.245,0.07,0.15,-0.15,-0.28,-0.19,0.52,-0.17,0.71,0.49,0.6,0.46,0.63,-0.05,0.61,-0.3,0.62,-0.28,0.65,-0.16,0.66,-0.13,0.67,0.31,0.68,0.67,0.36,0.69,0.6,0.82,0.76,0.81,0.82,0.8,0.84,0.84,0.83,0.83,0.71,0.72,0.56,0.69,1,US Direct Real Estate,,,,,,,,,,,,,,,,,,,
Alts,US Direct Real Estate,0.0375,0.0477,0.1475,0.045,0.17,-0.3,-0.35,-0.53,0.9,-0.44,0.68,-0.03,0.89,0.19,0.54,-0.18,0.71,-0.37,0.73,-0.34,0.78,-0.39,0.78,-0.36,0.7,-0.24,0.49,0.74,-0.19,0.59,0.5,0.68,0.61,0.57,0.53,0.48,0.63,0.62,0.61,0.6,0.44,0.42,0.46,0.18,0.52,1,US Value Added Real Estate,,,,,,,,,,,,,,,,,,
Alts,US Value Added Real Estate,0.05,0.0637,0.1725,0.06,0.21,-0.39,-0.31,-0.52,0.8,-0.43,0.57,-0.09,0.79,0.12,0.48,-0.21,0.63,-0.35,0.65,-0.32,0.69,-0.38,0.69,-0.36,0.59,-0.28,0.42,0.62,-0.25,0.54,0.45,0.62,0.56,0.51,0.47,0.44,0.57,0.56,0.55,0.54,0.37,0.35,0.41,0.11,0.47,0.97,1,European Direct Real Estate,,,,,,,,,,,,,,,,,
Alts,European Direct Real Estate,0.0425,0.0559,0.17,0.0525,0.18,-0.19,-0.27,-0.19,0.63,-0.24,0.66,0.3,0.67,0.34,0.93,-0.21,0.86,-0.37,0.88,-0.36,0.86,-0.28,0.86,-0.26,0.7,0.19,0.75,0.69,0.2,0.65,0.57,0.74,0.67,0.77,0.81,0.8,0.79,0.79,0.79,0.79,0.69,0.72,0.49,0.52,0.67,0.65,0.61,1,US REITs,,,,,,,,,,,,,,,,
Alts,US REITs,0.0475,0.0624,0.18,0.05,0.17,-0.14,-0.1,-0.13,0.45,0.04,0.67,0.57,0.49,0.49,0.49,0.11,0.5,-0.06,0.5,-0.05,0.53,0.08,0.53,0.1,0.62,0.42,0.65,0.56,0.39,0.62,0.53,0.78,0.8,0.68,0.72,0.71,0.77,0.77,0.76,0.76,0.63,0.63,0.49,0.66,0.65,0.42,0.39,0.5,1,Global ex-US REITs,,,,,,,,,,,,,,,
Alts,Global ex-US REITs,0.065,0.0895,0.235,0.0475,0.13,-0.21,-0.19,-0.07,0.44,-0.02,0.7,0.61,0.51,0.5,0.7,0.1,0.63,-0.16,0.64,-0.14,0.66,0.02,0.66,0.05,0.67,0.48,0.72,0.62,0.47,0.67,0.56,0.77,0.73,0.83,0.87,0.86,0.82,0.83,0.82,0.82,0.71,0.72,0.52,0.75,0.71,0.42,0.38,0.7,0.77,1,Global Infrastructure,,,,,,,,,,,,,,
Alts,Global Infrastructure,0.0475,0.0576,0.1475,0.0525,0.16,-0.2,-0.36,-0.47,0.9,-0.4,0.73,0.05,0.9,0.24,0.58,-0.14,0.74,-0.36,0.75,-0.33,0.8,-0.34,0.81,-0.32,0.75,-0.16,0.5,0.79,-0.09,0.59,0.51,0.66,0.58,0.57,0.53,0.48,0.62,0.61,0.61,0.6,0.46,0.45,0.43,0.21,0.51,0.92,0.85,0.64,0.37,0.42,1,Infrastructure Debt,,,,,,,,,,,,,
Alts,Infrastructure Debt,0.0275,0.0326,0.1025,,0,-0.07,-0.22,-0.22,0.94,-0.05,0.81,0.26,0.9,0.43,0.61,0.15,0.78,-0.09,0.78,-0.06,0.85,0.01,0.85,0.04,0.87,0.13,0.59,0.9,0.22,0.6,0.55,0.64,0.56,0.6,0.55,0.5,0.62,0.62,0.62,0.61,0.53,0.5,0.51,0.36,0.51,0.78,0.66,0.56,0.44,0.47,0.82,1,Diversified Hedge Funds,,,,,,,,,,,,
Alts,Diversified Hedge Funds,0.0275,0.0375,0.145,0.025,0.12,-0.16,-0.41,-0.43,0.89,-0.4,0.85,0.25,0.94,0.4,0.65,-0.15,0.76,-0.43,0.78,-0.4,0.85,-0.35,0.86,-0.32,0.83,-0.02,0.64,0.89,0.09,0.73,0.64,0.81,0.73,0.75,0.71,0.66,0.79,0.79,0.78,0.78,0.65,0.65,0.62,0.48,0.65,0.9,0.81,0.72,0.48,0.55,0.9,0.86,1,Diversified Hedge Funds hedged,,,,,,,,,,,
Alts,Diversified Hedge Funds hedged,0.025,0.0277,0.075,0.0225,0.08,-0.13,-0.29,-0.08,0.29,-0.1,0.6,0.59,0.41,0.49,0.44,-0.08,0.37,-0.35,0.38,-0.33,0.44,-0.14,0.44,-0.12,0.49,0.35,0.54,0.51,0.44,0.63,0.57,0.64,0.6,0.74,0.72,0.69,0.71,0.71,0.73,0.72,0.7,0.73,0.62,0.79,0.59,0.32,0.29,0.5,0.42,0.58,0.33,0.38,0.62,1,Event Driven Hedge Funds,,,,,,,,,,
