,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Korean Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alts,Developed World Equity,0.05,0.0559,0.1125,0.0625,-0.01,-0.02,-0.31,-0.19,0.02,-0.23,-0.17,-0.33,0.06,-0.17,0.16,0.11,0.56,0.35,0.6,0.46,0.07,-0.08,0.05,-0.07,0.08,-0.05,0.37,0.24,0.41,0.34,0.34,0.92,0.61,0.85,0.59,0.84,0.64,0.89,0.6,0.66,0.55,0.52,0.94,0.65,0.59,0.34,1,Developed World Equity hedged,,,,,,,,,,,,,,,,,
Alts,Developed World Equity hedged,0.0575,0.0663,0.1375,0.0625,0.07,-0.19,-0.05,-0.04,-0.66,-0.23,-0.63,-0.35,-0.57,0.01,-0.52,0.34,0,0.72,0.3,0.68,0.4,0.01,-0.61,0.12,-0.54,0.16,-0.22,0.57,-0.24,0.55,0.65,0.56,0.93,0.63,0.9,0.72,0.9,0.62,0.89,0.31,0.73,0.49,0.67,0.65,0.6,0.79,0.67,1,AC World Equity,,,,,,,,,,,,,,,,
Alts,AC World Equity,0.05,0.0567,0.12,0.065,0.12,-0.02,-0.24,-0.03,0,-0.09,-0.17,-0.3,0.05,-0.13,0.14,0.16,0.55,0.4,0.59,0.49,0.22,-0.01,0.05,0.08,0.12,0.02,0.43,0.37,0.39,0.48,0.4,0.86,0.62,0.76,0.58,0.79,0.62,0.84,0.58,0.62,0.52,0.56,0.9,0.69,0.6,0.42,0.94,0.69,1,AC World Equity hedged,,,,,,,,,,,,,,,
Alts,AC World Equity hedged,0.06,0.0714,0.1575,0.065,0.1,-0.17,-0.04,-0.01,-0.74,-0.18,-0.69,-0.34,-0.61,0.11,-0.62,0.38,-0.1,0.74,0.32,0.68,0.44,0.04,-0.63,0.27,-0.52,0.32,-0.29,0.63,-0.33,0.6,0.69,0.45,0.93,0.61,0.95,0.7,0.87,0.59,0.87,0.24,0.67,0.52,0.64,0.69,0.62,0.86,0.59,0.97,0.63,1,Private Equity,,,,,,,,,,,,,,
Alts,Private Equity,0.0625,0.0764,0.175,0.0775,0,-0.04,-0.26,-0.13,0.01,-0.13,-0.15,-0.28,0.09,-0.09,0.12,0.07,0.47,0.29,0.48,0.38,0.1,-0.07,0.03,-0.03,0.07,-0.03,0.32,0.19,0.34,0.27,0.31,0.82,0.57,0.82,0.52,0.73,0.56,0.74,0.53,0.54,0.45,0.4,0.79,0.53,0.46,0.3,0.85,0.57,0.78,0.51,1,Private Equity hedged,,,,,,,,,,,,,
Alts,Private Equity hedged,0.0725,0.0908,0.2025,0.0775,0.06,-0.17,-0.07,-0.03,-0.61,-0.15,-0.58,-0.3,-0.49,0.11,-0.52,0.27,-0.07,0.6,0.27,0.56,0.34,0,-0.52,0.21,-0.43,0.26,-0.23,0.49,-0.27,0.47,0.55,0.43,0.82,0.56,0.82,0.64,0.76,0.52,0.75,0.19,0.57,0.39,0.56,0.54,0.47,0.68,0.53,0.8,0.53,0.83,0.48,1,Asia Core Real Estate,,,,,,,,,,,,
Alts,Asia Core Real Estate,0.045,0.0495,0.0975,0.0525,-0.01,-0.05,0,-0.05,-0.12,-0.1,-0.12,-0.09,-0.08,-0.01,-0.05,0.15,0.19,0.27,0.21,0.29,0.15,0.06,-0.1,0,-0.09,0.01,0.09,0.22,0.1,0.21,0.3,0.33,0.32,0.31,0.31,0.33,0.34,0.34,0.34,0.2,0.24,0.32,0.36,0.38,0.4,0.32,0.37,0.36,0.36,0.34,0.31,0.28,1,U.S. REITs,,,,,,,,,,,
Alts,U.S. REITs,0.0525,0.0601,0.1275,0.0575,0,-0.15,0.19,0.06,-0.11,-0.07,-0.03,0,-0.07,-0.02,-0.04,0.15,0.31,0.35,0.17,0.33,0.3,0.18,-0.07,0.03,-0.06,0.03,0.14,0.24,0.12,0.17,0.22,0.53,0.49,0.36,0.37,0.39,0.47,0.38,0.49,0.25,0.26,0.06,0.39,0.18,0.18,0.2,0.48,0.47,0.43,0.41,0.42,0.38,0.4,1,U.S. REITs hedged,,,,,,,,,,
Alts,U.S. REITs hedged,0.0625,0.0739,0.1575,0.0575,0.05,-0.24,0.25,0.12,-0.6,-0.06,-0.39,-0.04,-0.48,0.16,-0.52,0.33,-0.09,0.59,0.08,0.48,0.48,0.23,-0.5,0.25,-0.44,0.29,-0.24,0.52,-0.3,0.4,0.45,0.31,0.73,0.33,0.66,0.42,0.65,0.29,0.7,0.06,0.41,0.16,0.32,0.3,0.28,0.56,0.33,0.71,0.32,0.71,0.31,0.61,0.37,0.84,1,Global REITs,,,,,,,,,
Alts,Global REITs,0.0575,0.0631,0.11,0.0575,-0.02,-0.09,0.09,0.02,-0.19,-0.12,-0.15,-0.1,-0.1,0.01,-0.05,0.3,0.38,0.5,0.41,0.54,0.37,0.21,-0.1,0.09,-0.06,0.12,0.21,0.43,0.19,0.4,0.36,0.62,0.61,0.6,0.58,0.61,0.61,0.64,0.62,0.44,0.44,0.4,0.69,0.51,0.51,0.44,0.7,0.64,0.66,0.6,0.59,0.52,0.46,0.85,0.76,1,Global REITs hedged,,,,,,,,
Alts,Global REITs hedged,0.0675,0.0799,0.165,0.0575,0.06,-0.21,0.19,0.1,-0.73,-0.1,-0.55,-0.14,-0.59,0.21,-0.62,0.42,-0.14,0.71,0.19,0.64,0.55,0.23,-0.6,0.32,-0.5,0.38,-0.29,0.65,-0.35,0.54,0.57,0.28,0.82,0.44,0.83,0.53,0.75,0.41,0.78,0.12,0.54,0.38,0.46,0.52,0.48,0.78,0.4,0.82,0.42,0.87,0.35,0.73,0.37,0.65,0.91,0.78,1,Diversified Hedge Funds,,,,,,,
Alts,Diversified Hedge Funds,0.0325,0.0375,0.1025,0.0325,0.02,0.2,-0.24,-0.03,0.83,0.01,0.57,0.01,0.78,-0.27,0.86,-0.29,0.73,-0.38,0.26,-0.21,-0.28,-0.08,0.7,-0.34,0.64,-0.48,0.76,-0.36,0.8,-0.24,-0.33,0.45,-0.37,0.18,-0.43,0.07,-0.27,0.29,-0.32,0.47,-0.15,0.05,0.29,0.01,0.01,-0.47,0.38,-0.32,0.37,-0.42,0.3,-0.35,0.02,-0.03,-0.48,0.02,-0.53,1,Diversified Hedge Funds hedged,,,,,,
Alts,Diversified Hedge Funds hedged,0.0425,0.0452,0.075,0.0325,0.12,-0.07,-0.18,-0.15,-0.46,-0.32,-0.52,-0.41,-0.33,0.05,-0.32,0.19,0.11,0.57,0.35,0.66,0.3,-0.07,-0.42,-0.03,-0.38,0.01,-0.08,0.36,-0.05,0.4,0.53,0.41,0.65,0.53,0.69,0.55,0.68,0.61,0.65,0.3,0.61,0.52,0.61,0.67,0.61,0.65,0.56,0.72,0.6,0.73,0.45,0.59,0.27,0.2,0.35,0.42,0.54,0.01,1,Event Driven Hedge Funds,,,,,
Alts,Event Driven Hedge Funds,0.0375,0.0416,0.0925,0.045,0.02,0.15,-0.32,-0.11,0.74,-0.08,0.45,-0.09,0.71,-0.3,0.81,-0.24,0.81,-0.23,0.38,-0.07,-0.25,-0.11,0.63,-0.35,0.58,-0.46,0.76,-0.29,0.83,-0.14,-0.23,0.55,-0.25,0.29,-0.31,0.19,-0.16,0.41,-0.21,0.52,-0.06,0.12,0.41,0.11,0.11,-0.38,0.5,-0.19,0.48,-0.3,0.41,-0.24,0.09,0.08,-0.37,0.14,-0.42,0.96,0.08,1,Event Driven Hedge Funds hedged,,,,
Alts,Event Driven Hedge Funds hedged,0.0475,0.0513,0.09,0.045,0.12,-0.14,-0.2,-0.14,-0.63,-0.35,-0.7,-0.51,-0.49,0.05,-0.49,0.25,0.06,0.73,0.37,0.77,0.37,-0.09,-0.57,0.04,-0.49,0.11,-0.2,0.47,-0.17,0.52,0.61,0.4,0.78,0.55,0.8,0.58,0.76,0.59,0.74,0.23,0.62,0.5,0.6,0.67,0.6,0.75,0.54,0.82,0.58,0.85,0.45,0.69,0.3,0.3,0.53,0.5,0.7,-0.21,0.89,-0.05,1,Macro Hedge Funds,,,
Alts,Macro Hedge Funds,0.0275,0.0341,0.1175,0.0375,-0.03,0.27,-0.09,-0.02,0.9,0.07,0.69,0.14,0.77,-0.25,0.87,-0.3,0.58,-0.53,0.14,-0.39,-0.37,-0.05,0.82,-0.28,0.74,-0.37,0.65,-0.47,0.7,-0.39,-0.44,0.23,-0.56,0,-0.58,-0.1,-0.46,0.11,-0.46,0.28,-0.36,-0.1,0.09,-0.14,-0.12,-0.61,0.18,-0.51,0.15,-0.59,0.11,-0.5,-0.05,-0.09,-0.55,-0.09,-0.64,0.9,-0.18,0.81,-0.43,1,Macro Hedge Funds hedged,,
Alts,Macro Hedge Funds hedged,0.0375,0.0402,0.075,0.0375,0.24,0.12,0.21,0.31,-0.1,0.19,-0.04,0.05,-0.01,0.2,-0.09,0.18,-0.02,0.15,0.08,0.14,0.3,0.25,-0.01,0.33,0.07,0.24,0.03,0.26,-0.06,0.25,0.22,0.14,0.25,0.24,0.29,0.22,0.22,0.25,0.29,0.12,0.1,0.25,0.29,0.39,0.29,0.36,0.23,0.29,0.36,0.35,0.18,0.24,0.11,0.04,0.13,0.19,0.25,0.13,0.54,0.07,0.35,0.22,1,Commodities,
Alts,Commodities,0.0275,0.0375,0.145,0.035,0.08,0.12,-0.26,-0.18,0.15,-0.05,0,-0.18,0.26,0.06,0.23,0.06,0.35,0.08,0.41,0.06,-0.07,-0.13,0.27,0.1,0.31,0.13,0.32,0.06,0.36,0.15,0.03,0.23,0.01,0.31,0.1,0.21,-0.06,0.42,0.06,0.2,-0.03,0.27,0.35,0.37,0.26,0.05,0.33,0.01,0.33,0.08,0.26,0.05,0.07,-0.07,-0.15,0.1,-0.06,0.32,0.28,0.36,0.21,0.29,0.32,1,Gold
Alts,Gold,0.03,0.0481,0.1975,0.0375,0.16,0.14,0.06,0.05,0.45,0.27,0.41,0.21,0.55,0.17,0.45,0.07,0.3,-0.23,0.16,-0.23,-0.07,0.18,0.53,0.17,0.55,0.12,0.48,-0.04,0.47,-0.01,-0.2,0.01,-0.36,-0.03,-0.32,-0.14,-0.4,0.03,-0.3,0,-0.45,0.04,-0.02,0.03,-0.02,-0.25,0,-0.37,0.04,-0.32,-0.01,-0.3,-0.03,-0.1,-0.29,-0.08,-0.32,0.41,-0.09,0.39,-0.21,0.5,0.27,0.55,1
