2/26/2010,0.52,1.05,0.54,-0.76
3/31/2010,0.79,0.34,-1.94,1.25
4/30/2010,-0.50,-0.25,-1.19,2.41
5/31/2010,-1.20,-0.15,2.19,-0.47
6/30/2010,-1.71,1.03,1.83,-1.62
7/30/2010,0.64,-0.48,-0.87,-0.38
8/31/2010,-2.61,-0.79,-0.26,-1.18
9/30/2010,1.43,1.52,-0.84,0.81
10/29/2010,0.80,0.65,0.59,-0.95
11/30/2010,-1.45,1.29,1.35,1.39
12/31/2010,1.43,-0.43,-2.45,1.86
1/31/2011,2.67,-0.43,-1.31,-1.19
2/28/2011,0.16,0.35,0.56,-0.12
3/31/2011,-0.65,1.56,1.57,1.48
4/29/2011,0.06,0.48,1.24,-1.75
5/31/2011,-0.52,0.11,-0.06,-0.51
6/30/2011,0.05,2.42,2.48,-1.75
7/29/2011,-1.71,1.21,1.25,0.07
8/31/2011,-2.03,2.28,1.22,-1.13
9/30/2011,0.03,1.25,-0.11,-1.99
10/31/2011,2.35,-0.02,-0.17,-0.39
11/30/2011,-0.74,0.55,1.90,-0.76
12/30/2011,1.11,0.59,0.03,0.39
1/31/2012,2.18,-0.73,-3.35,1.54
2/29/2012,0.08,-1.44,-0.66,-1.70
3/30/2012,-0.38,0.23,2.09,-0.98
4/30/2012,-2.32,1.10,3.40,-0.92
5/31/2012,-1.21,0.11,1.05,0.52
6/29/2012,-0.14,0.65,-0.85,-0.62
7/31/2012,1.09,0.92,2.83,-2.01
8/31/2012,0.36,-0.39,-0.79,-1.05
9/28/2012,-0.57,0.78,-0.21,0.32
10/31/2012,1.39,-1.04,-0.11,-0.66
11/30/2012,1.14,-0.55,-0.74,-1.40
12/31/2012,0.49,-2.18,-2.78,1.21
1/31/2013,1.65,0.76,0.19,-0.90
2/28/2013,0.61,0.77,1.13,-0.01
3/29/2013,-0.60,1.03,1.65,-0.37
4/30/2013,0.71,-0.65,0.08,-0.85
5/31/2013,0.97,-1.68,-1.51,1.71
6/28/2013,0.29,1.09,1.17,-0.47
7/31/2013,0.47,0.24,-1.00,0.93
8/30/2013,-1.05,-1.20,-1.23,0.25
9/30/2013,-0.70,-0.22,1.37,1.10
10/31/2013,2.35,1.36,-0.08,-1.63
11/29/2013,1.15,-0.36,0.34,-0.08
12/31/2013,0.32,0.14,0.30,-0.27
1/31/2014,-1.15,-1.38,0.24,0.53
2/28/2014,0.25,-0.76,-0.06,-1.82
3/31/2014,2.54,0.86,-1.14,-0.11
4/30/2014,3.44,0.49,-2.26,-2.05
5/30/2014,0.28,0.41,0.54,-1.94
6/30/2014,-1.38,-0.48,-0.81,1.85
7/31/2014,1.19,0.96,0.73,-3.11
8/29/2014,-0.02,0.36,0.76,-0.67
9/30/2014,-0.47,1.11,1.08,-3.66
10/31/2014,0.69,1.73,0.29,-0.10
11/28/2014,0.51,0.67,0.04,-2.43
12/31/2014,-0.59,0.56,0.22,1.28
1/30/2015,-1.99,0.79,2.81,-2.00
2/27/2015,0.73,-0.72,-2.72,0.89
3/31/2015,-0.77,0.27,1.58,0.10
4/30/2015,1.30,-0.68,-3.92,0.63
5/29/2015,0.88,-0.79,1.55,-0.78
6/30/2015,-1.75,0.01,1.94,1.22
7/31/2015,-1.44,1.91,3.63,-3.53
8/31/2015,0.21,-0.28,-0.50,-0.15
9/30/2015,-0.41,2.71,3.63,-2.49
10/30/2015,2.52,1.40,-2.94,0.06
11/30/2015,-0.97,-0.11,-0.55,1.83
12/31/2015,-0.91,0.11,0.75,-0.71
1/29/2016,0.72,3.23,1.12,-2.98
2/29/2016,1.47,0.17,-3.52,1.31
3/31/2016,-0.30,-0.01,-1.01,2.47
4/29/2016,-1.40,-2.66,-2.89,2.67
5/31/2016,-0.36,0.54,1.37,-0.54
6/30/2016,-4.75,1.28,4.77,-0.76
7/29/2016,0.66,-0.49,-0.39,0.67
8/31/2016,3.03,-0.80,-4.12,0.68
9/30/2016,-0.94,0.19,1.48,1.02
